,City,Country,Lat,Lng,Temperature (F),Humidity,Cloudiness,Wind Speed (mph)
331,deputatskiy,ru,69.3,139.9,-39.12,84,77,2.53
332,kavaratti,in,10.5669,72.642,81.59,68,0,2.53
333,muros,es,42.7762,-9.0603,50.2,92,0,3.0
334,catamarca,ar,-28.4696,-65.7852,75.99,58,9,12.66
335,manokwari,id,-0.8667,134.0833,78.21,77,100,4.5
336,san patricio,mx,19.2167,-104.7,77.0,73,20,11.5
337,kruisfontein,za,-34.0033,24.7314,69.01,78,0,5.01
338,mulchen,cl,-37.7167,-72.2333,91.4,24,0,14.97
339,broome,au,-17.9667,122.2333,87.8,79,53,4.61
340,manglaur,in,29.8,77.8667,55.11,64,0,4.27
341,joshimath,in,30.5667,79.5667,41.83,45,0,5.08
342,sabzevar,ir,36.2126,57.6819,47.71,52,0,8.75
343,macapa,br,0.0389,-51.0664,84.2,79,75,13.8
344,bourail,nc,-21.5667,165.4833,76.8,88,38,4.34
345,kavieng,pg,-2.5744,150.7967,82.62,75,45,13.29
346,lac du bonnet,ca,50.2536,-96.0612,-2.0,100,83,7.0
347,novopokrovka,ru,45.8531,134.5089,-16.91,86,76,7.07
348,tiksi,ru,71.6872,128.8694,-26.19,86,100,7.23
349,razole,in,16.4833,81.8333,66.74,92,0,3.22
350,junction city,us,39.0286,-96.8314,49.26,32,1,6.91
351,bangassou,cf,4.7413,22.8184,74.05,26,55,0.45
352,itaqui,br,-29.1253,-56.5531,86.61,25,0,7.81
353,farah,af,32.5,62.5,50.31,41,0,2.59
354,haines junction,ca,60.7522,-137.5108,28.4,80,100,2.3
355,nanyamba,tz,-10.6833,39.8333,80.6,89,20,13.8
356,gorontalo,id,0.5412,123.0595,75.52,84,99,2.28
357,coahuayana,mx,18.7333,-103.6833,84.2,48,40,6.91
358,mareeba,au,-17.0,145.4333,73.11,94,100,1.34
359,kazachinskoye,ru,57.6953,93.2761,13.01,94,96,9.22
360,tarakan,id,3.3,117.6333,79.14,81,100,6.15
361,road town,vg,18.4167,-64.6167,80.92,65,40,10.36
362,bomi,sl,7.2461,-11.5258,78.1,79,100,3.94
363,mozarlandia,br,-14.7447,-50.5706,85.1,62,100,5.06
364,vanimo,pg,-2.6741,141.3028,77.4,82,100,2.37
365,harper,lr,4.375,-7.7169,79.41,76,8,3.78
366,santa cruz,cr,10.2605,-85.5851,89.6,48,20,21.85
367,hangu,pk,33.5311,71.0593,48.2,66,20,4.61
368,lagoa,pt,39.05,-27.9833,61.57,84,100,25.1
369,vostok,ru,46.4856,135.8833,-16.74,89,100,3.6
370,sheffield,us,34.7651,-87.6986,52.02,41,0,5.01
371,olafsvik,is,64.8945,-23.7142,33.37,86,0,13.22
372,waitati,nz,-45.75,170.5667,55.53,85,100,21.0
373,barkhan,pk,29.8977,69.5256,46.78,47,0,0.94
374,jiaocheng,cn,24.6774,116.1389,41.58,58,3,2.26
375,tiarei,pf,-17.5333,-149.3333,84.99,62,40,3.44
376,kudahuvadhoo,mv,2.6708,72.8944,81.75,74,89,8.99
377,ulladulla,au,-35.35,150.4667,61.57,94,75,6.91
378,gibsons,ca,49.3997,-123.5027,41.49,93,13,3.83
379,athabasca,ca,54.7169,-113.2854,32.85,74,0,12.66
380,kangaatsiaq,gl,68.3065,-53.4641,11.79,88,99,13.85
381,flinders,au,-34.5833,150.8552,67.77,86,86,1.01
382,bambous virieux,mu,-20.3428,57.7575,79.36,100,75,10.36
383,cascais,pt,38.6979,-9.4215,52.79,71,0,3.94
384,zhigansk,ru,66.7697,123.3711,-50.48,75,51,5.19
385,half moon bay,us,37.4636,-122.4286,69.24,18,1,13.8
386,kautokeino,no,69.0125,23.0412,13.01,93,0,3.09
387,plettenberg bay,za,-34.0527,23.3716,67.71,85,3,7.99
388,oktyabrskoye,ru,43.0645,44.7417,28.2,100,96,2.24
389,dobrany,cz,49.6548,13.2931,35.33,87,90,9.22
390,tura,ru,64.2833,100.25,-28.41,83,100,5.5
391,nouadhibou,mr,20.931,-17.0347,71.6,40,0,11.5
392,la ronge,ca,55.1001,-105.2842,5.0,85,97,3.44
393,ejea de los caballeros,es,42.1263,-1.1372,44.6,81,6,1.45
394,angoche,mz,-16.2325,39.9086,81.95,82,100,8.59
395,bom jesus da lapa,br,-13.255,-43.4181,94.87,21,0,1.68
396,nanortalik,gl,60.1432,-45.2371,27.79,85,100,4.34
397,barcelos,br,-0.9747,-62.9242,86.02,65,10,5.53
398,fairbanks,us,64.8378,-147.7164,31.23,51,75,11.5
399,antofagasta,cl,-23.65,-70.4,73.02,64,20,16.11
400,atocha,bo,-20.9333,-66.2333,51.24,61,96,13.62
401,cockburn town,tc,21.4612,-71.1419,77.9,78,100,8.63
402,beringovskiy,ru,63.05,179.3167,-19.44,86,39,11.72
403,vuktyl,ru,63.8567,57.3094,-27.27,85,2,3.94
404,hays,us,30.0502,-98.0336,66.07,56,5,8.01
405,babu,cn,24.4167,111.5167,45.05,53,0,1.12
406,totma,ru,59.9747,42.7642,1.29,94,90,4.14
407,mantua,cu,22.2889,-84.2844,78.04,53,71,8.72
408,kununurra,au,-15.7667,128.7333,77.0,69,98,3.44
409,bonavista,ca,48.6499,-53.1147,38.71,75,17,9.22
410,saint-joseph,re,-21.3667,55.6167,76.28,78,20,2.3
411,acapulco,mx,16.8634,-99.8901,84.2,74,1,6.91
412,gallatin,us,45.6666,-111.2008,30.27,75,90,4.61
413,northam,au,-31.6667,116.6667,79.43,39,90,16.11
414,palana,ru,59.1167,159.9667,-3.06,92,100,22.95
415,sao raimundo nonato,br,-9.0153,-42.6994,89.98,37,99,7.25
416,kifri,iq,34.6959,44.9661,52.47,62,0,2.66
417,qandala,so,11.472,49.8728,76.08,55,91,5.37
418,los negros,bo,-17.7333,-63.4333,78.8,57,75,11.5
419,grand gaube,mu,-20.0064,57.6608,80.01,88,100,5.01
420,mugumu,tz,-1.85,34.7,60.96,92,100,2.08
421,seminole,us,28.7086,-81.2081,66.11,44,0,1.99
422,pokosnoye,ru,55.5258,101.0536,17.37,95,100,7.9
423,bredy,ru,52.4153,60.3411,-3.51,89,100,5.39
424,laksar,in,29.7667,78.05,55.67,62,0,4.34
425,tessalit,ml,20.1986,1.0114,70.56,20,2,7.63
426,zvishavane,zw,-20.3267,30.0665,65.28,96,100,8.16
427,khingansk,ru,49.1167,131.1833,-28.61,88,100,5.64
